req_id,text,vague_quantifier,passive_no_actor,unresolved_pronoun,missing_measurable,weak_conflicting_modality
REQ-0552,The interface shall be appealing to callers and supervisors. In the interface and usability survey 80% of beta testers must report that the interface is appealing.,,,,,
REQ-0504,Once a game has been initiated the product shall make the players assigned to the game unavailable for selection from the list of players.,,,,,
REQ-0618,""" The product must comply with the intranet page standards and requirements of ENET Securities. 95% of the product look & feel will be approved by the Architecture group prior to implementation. The remaining 5% will be corrected and approved within one month of product release.""",,,,,
REQ-0313,The product shall ensure that only company employees or external users with company-approved user IDs may have product access. 100% of all logons shall be by either company employees or external users with company-approved user IDs.,,,,,
REQ-0497,The response time shall be fast enough to maintain the flow of the game. The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.,,,,,
REQ-0132,The system shall be able to display a printable summary for individual clinical labs which will include (but not be limited to) class name class number lab section listing of students enrolled instructor day(s) time and location.,,,,,
REQ-0124,Program Administrators and Nursing Staff Members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class.,,,,,
REQ-0117,The system shall be able to display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators/Nursing Staff Membersâ€™ planning purposes.,,,,,
REQ-0149,The list of dispute cases that are displayed after a search is performed must be color coded for easy identification of dispute cases based upon the dispute case status.,,,,,
REQ-0527,When the hit results in sinking a ship the product shall mark the ship as sunk on the defensive grid of the defensive player.,,,,,
REQ-0298,The product must be able to interface with any HTML browser. The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).,,,,,
REQ-0199,For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process a case activity will be generated. Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.,,,,,
REQ-0194,The Disputes System must provide Search functionality. The search method must include the ability to search by (1) the dispute case number (2) the merchant account number (3) the cardmember account number and (4) the issuer number. In addition to the above criteria the search functionality must further allow the user to limit the results of the search by a date range the type of dispute (ticket retrieval request or chargeback notification) the case status (open closed or all) and the dispute reason code.,,,,,
REQ-0478,If the leads score falls within the medium average then it will be set for manual verification by an Enrollment Coordinator through the eleads system.,,,,,
REQ-0003,The product shall be available during normal business hours. As long as the user has access to the client PC the system will be available 99% of the time during the first six months of operation.,,,,,
REQ-0005,The product shall ensure that it can only be accessed by authorized users. The product will be able to distinguish between authorized and unauthorized users in all access attempts,,,,,
REQ-0007,The product shall respond fast to keep up-to-date data in the display.,,,,,
REQ-0185,The Disputes System will provide the user the ability to create or initiate a ticket retrieval request. As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request. The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,,,,,
REQ-0189,The Disputes System shall allow the user to create or initiate a chargeback request. The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.,,,,,
REQ-0190,The Disputes System must provide a confirmation to the user upon the creation of a chargeback request. The confirmation must contain the following information the dispute case number the type of chargeback requested (pending or immediate) and the date that the merchant response is due.,,,,,
REQ-0192,The Disputes System shall accurately provide a list of possible reason codes for a given transaction. The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to according to the business rules defined for the Disputes System.,,,,,
REQ-0197,The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions. The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.,,,,,
REQ-0229,Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.,,,,,
REQ-0244,The system shall locate the preferred repair facility with the highest ratings for the input criteria,,,,,
REQ-0248,The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.,,,,,
REQ-0249,The estimator shall search for available recycled parts using damaged vehicle parts information.,,,,,
REQ-0250,The estimator shall search for available recycled parts using a list of preferred parts suppliers.,,,,,
REQ-0251,The system shall search for available recycled parts for the supplied vehicle parts and suppliers.,,,,,
REQ-0253,The system shall retain the available recycled parts and suppliers returned from the search.,,,,,
REQ-0256,The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.,,,,,
REQ-0260,The system shall generate an audit report based on the available recycled parts and the collision estimate.,,,,,
REQ-0262,The audit report shall include the number of available recycled parts from the original search results.,,,,,
REQ-0276,The product will function alongside server software on any operating system where the Java runtime can be installed.,,,,,
REQ-0277,The product will require collaboration with a database management system (DBMS). The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.,,,,,
REQ-0354,The System shall granularly control access rights to all major subsystems. It should be possible to assign access rights to all subsystems independently.,,,,,
REQ-0383,The website shall be attractive to all audiences. The website shall appear to be fun and the colors should be bright and vibrant.,,,,,
REQ-0406,The streaming server will support a maximum of 700 movies new servers can be added to support more movies.,,,,,
REQ-0483,The leads washing functionality will have an interface in which lead data parameters can be maintained.,,,,,
REQ-0498,The product shall protect the identity of the players. The product shall provide players no access to information that might reveal the identity of another player.,,,,,
REQ-0501,The product shall provide players no access to information that might reveal the identity of another player,,,,,
REQ-0548,The product shall ensure that only supervisors can advertise empty time slots.The product must ensure that supervisors are allowed to access advertise empty time slots.,,,,,
REQ-0549,The product shall ensure that only supervisors can enter a callerâ€™s schedule.The product must ensure that supervisors are allowed to access advertise empty time slots.,,,,,
REQ-0550,The product shall ensure that only supervisors can view schedule of all callers.The product must ensure that supervisors are allowed to access advertise empty time slots.,,,,,
REQ-0576,The system shall be displayable on any work computer a CCR user may have. The system interface shall be formatted to display at 800 by 600 pixel resolution.,,,,,
REQ-0291,The response shall be fast enough to avoid interrupting the userâ€™s flow of thought. 90% of tasks shall complete within 5 seconds. 98% of tasks shall complete within 8 seconds.,,,,,
REQ-0474,If a lead is scored to the high range the system will supply the lead data and score to the enterprise system.,,,,,
REQ-0477,If the leads score falls within the high average score then it will be process by the ARA functionality.,,,,,
REQ-0479,If the leads score falls within the low average then it will be returned to the supplying vendor,,,,,
REQ-0496,The product shall able to handle a large number of games simultaneously.,,,,,
REQ-0542,The system shall be responsive. At the DePaul TeleServices Center when a supervisor uses the system to view a callers schedule the system response time must be no more than 2 seconds 90% of the time and no more than 5 seconds the rest of the time.,,,,,
REQ-0574,The product shall have audit capabilities.The product shall store messages for a minimum of one year for audit and transaction tracking purposes.,,,,,
REQ-0578,The interface must summarize the data in a fashion thatâ€™s appealing to CCR management. Every report type must have at least one high level summary shown in the results dashboard/interface,,,,,
REQ-0621,""" The product interface should be fast. The response time of the product interface should not exceed 2 seconds 90% of the time. For 10% of the time the response time should not be more than 10 seconds.not be more than 10 seconds.""",,,,,
REQ-0004,If projected the data must be understandable. On a 10x10 projection screen 90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,,,,,
REQ-0016,The bottom 3/4 of the table will hold events that occur according to its relevance to current time.,,,,,
REQ-0017,The system shall color code events according to their variance from current time.,,,,,
REQ-0142,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to cohorts including cohort identifier program of study preferred sequence of classes and quarters that a cohort will be taking specific classes.,,,,,
REQ-0159,The Disputes application shall interface with the Letters application. This will allow the Disputes application to request letters as part of the dispute initiation and dispute follow up process. All letter requests must be sent to the Print Letter Utility application.,,,,,
REQ-0160,The Disputes application shall interface with the Cardmember Posting and Billing System. This will allow the Disputes application to request adjustments to cardmember and merchantâ€™s accounts. All adjustment requests must be sent to the Cardmember Posting and Billing System.,,,,,
REQ-0165,The Disputes System shall generate a User Report that details any new users that have been added and any changes to an existing userâ€™s access level. The report will be reviewed for auditing purposes.,,,,,
REQ-0175,The Disputes application must maintain a detailed history of every action that a user takes on a dispute case. This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.,,,,,
REQ-0204,The product shall interface with the Choice Parts System. This provides the feed of recycled parts data.,,,,,
REQ-0211,The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,,,,,
