req_id,text,vague_quantifier,passive_no_actor,unresolved_pronoun,missing_measurable,weak_conflicting_modality,vague_quantifier_spans,passive_no_actor_spans,unresolved_pronoun_spans,missing_measurable_spans,weak_conflicting_modality_spans
REQ-0489,The product shall display the grids within a circle as a view from a periscope.,False,False,False,False,False,,,,,
REQ-0172,All business rules specified in the Disputes System shall be in compliance with the Merchant Operating Regulations.,False,False,False,False,False,,,,,
REQ-0063,The system shall be able to call the seller or buyer to schedule an appointment,False,False,False,False,False,,,,,
REQ-0368,PME Subsystem shall allow for a product to exist in more than one submenu,False,False,False,False,False,,,,,
REQ-0269,The system will display a blank set of ratings if there are not ratings yet defined.,False,False,False,False,False,,,,,
REQ-0447,Website shall request and authorize credit card payment before allowing a user to stream a movie.,False,False,False,False,False,,,,,
REQ-0459,Website must be able to support free trial periods with various parameters set by the Izogn Manager.,True,False,False,False,False,various,,,,
REQ-0475,The leads washing functionality will validate all leads received by the web service for valid data,False,False,False,False,False,,,,,
REQ-0246,The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.,False,False,False,False,False,,,,,
REQ-0263,The audit report shall include the percentage of available recycled parts used in the estimate,False,False,False,False,False,,,,,
REQ-0076,Staff members shall be able to complete a set of tasks in a timely manner.,True,False,False,False,False,timely,,,,
REQ-0535,The product shall allow a player to end a game at any time during the game.,False,False,False,False,False,,,,,
REQ-0350,The System shall allow for a minimum of 6 users to work at the same time.,False,False,False,False,False,,,,,
REQ-0052,90% of untrained realtors shall be able to install the product on their device without printed instructions,False,False,False,False,False,,,,,
REQ-0103,Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort,False,False,False,False,False,,,,,
REQ-0511,The product shall prevent a player from viewing the offensive or defensive grids of the other player.,False,False,False,False,False,,,,,
REQ-0460,All streaming movie sales will be logged in the database and accessible by the administrator.,False,True,False,False,False,,will be logged,,,
REQ-0164,All authorized users once authenticated must be able to logon to the Disputes System,False,False,False,False,False,,,,,
REQ-0487,The leads washing functionality shall receive a period list of available reps from the enterprise system.,False,False,False,False,False,,,,,
REQ-0254,The available recycled parts information and their suppliers shall be returned to the user.,False,True,True,False,False,,shall be returned,their,,
REQ-0025,The system shall offer the ability to pause and resume the refresh of data.,False,False,False,False,False,,,,,
REQ-0523,For each shot the product shall notify the players whether the shot was a hit or miss.,False,False,False,False,False,,,,,
REQ-0101,A cohort shall be associated to one Program of Study offered by the department.,False,True,False,False,False,,shall be associated,,,
REQ-0595,The Commissioner will be the only authorized user per league to adjust league settings.,False,False,False,False,False,,,,,
REQ-0421,The website will provide a help section with answers and solutions to common problems.,False,False,False,False,False,,,,,
REQ-0069,All of the users shall be able to use the system after one day of training.,False,False,False,False,False,,,,,
REQ-0074,The system shall use symbols and words that are naturally understandable by the user community.,False,False,False,False,False,,,,,
REQ-0367,PME Subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order.,False,False,False,False,False,,,,,
REQ-0105,Program Administrators and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort.,False,False,False,False,False,,,,,
REQ-0524,For each shot the product shall mark the shot as a hit or miss on the defensive grid of the defensive player.,False,False,False,False,False,,,,,
REQ-0376,System shall let existing customers log into the website with their email address and password in under 5 seconds.,False,False,False,False,False,,,,,
REQ-0374,System shall let customers register on the website as a â€œpay as you goâ€‌ user in under 5 minutes.,False,False,False,False,False,,,,,
REQ-0136,The system will use the stored e-mail addresses as a primary means of communicating information to affected parties.,False,False,False,False,False,,,,,
REQ-0285,The product shall allow the user to select a chosen language from one of the target market countries.,False,False,False,False,False,,,,,
REQ-0596,Each page shall contain a navigation menu which shows the index into which the current page is contained.,False,True,False,False,False,,is contained,,,
REQ-0349,Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.,False,False,False,False,False,,,,,
REQ-0387,Users should only have to navigate through a maximum of 4 pages to create an account with the website.,False,False,False,False,False,,,,,
REQ-0491,When the offensive player takes a shot the product shall simulate the sound of a ship at sea.,False,False,False,False,False,,,,,
REQ-0083,The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.,False,True,False,False,False,,shall be expected,,,
REQ-0169,The Disputes application shall manipulate and view business data. Users will not have direct access to data files or databases.,False,False,False,False,False,,,,,
REQ-0070,The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.,False,False,False,False,False,,,,,
REQ-0107,Program Administrators and Nursing Staff Members shall be able to add new classes to a sequence of classes,False,False,False,False,False,,,,,
REQ-0232,Only valid data shall be entered into the system. No invalid data shall be entered into the system.,False,True,False,False,False,,shall be entered,,,
REQ-0575,The system shall use IBM and CCR branding standards. The interface must have one IBM logo and one CCR logo.,True,False,False,False,False,standards,,,,
REQ-0353,The System shall maintain consistent security. Any changes in user passwords and/or permissions should take affect in all parts of the System.,True,False,False,False,True,consistent,,,,shall; should
REQ-0230,Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.,False,False,False,False,False,,,,,
REQ-0565,The product shall be robust with fault tolerance.The product shall have fault tolerance by using recovery technique compensatory transaction and routing around failures.,True,False,False,False,False,robust,,,,
REQ-0123,A clinical lab section shall include the clinical site name the class instructor day and time of the lab.,False,False,False,False,False,,,,,
REQ-0539,When a game is ended the product shall allow each player to remove himself or herself from the list of players.,False,True,False,False,False,,is ended,,,
REQ-0119,Classes for a given cohort shall not conflict with regards to the time and day that they are offered.,False,True,True,False,False,,are offered,they,,
REQ-0556,The product shall provide Error Tracking Services.The product shall help the System Administrators and DBAs to resolve transaction errors 99% of the time.,False,False,False,False,False,,,,,
REQ-0557,The product shall provide Portals.The product shall help System Administrators to analyze the transactions with ad-hoc reporting and KPIs (Key Performance Indicators),False,False,False,False,False,,,,,
REQ-0601,""" Users shall be able to view at least 25 NFL player statistics and points on each page.""",False,False,False,False,False,,,,,
REQ-0492,When a shot is marked as a miss the product shall simulate the sound of a shot missing its target.,False,True,True,False,False,,is marked,its,,
REQ-0469,The washing process must use a non binding neutral data format such as xml when receiving and processing lead data.,False,False,False,False,False,,,,,
REQ-0214,The user shall easily locate instructions while using the product. User help can be found within 90% of the system.,False,True,False,False,True,,can be found,,,shall; can
REQ-0125,The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.,False,False,False,False,False,,,,,
REQ-0467,The process must fit within the processing time conditions set forth by the Auto Rep Assignment process in which a lead is assigned within 3 minutes of the total life cycle.,False,True,False,False,False,,is assigned,,,
REQ-0299,The product must be able to interface with various database management systems. The product shall communicate successfully with the database management system on 100% of all transactions.,True,False,False,False,False,various,,,,
REQ-0317,The product and/or dependent databases/filesystems shall remain operational as a result of the input of malicious data. The product and/or dependent databases/filesystems shall not crash 100% of the time that malicious data is input into the product.,False,False,False,False,False,,,,,
REQ-0310,The product shall be translated into foreign languages other than the target market countriesâ€™ languages in future releases. For each emerging target market it shall take no more than 5 days to configure the product for that marketâ€™s language.,False,True,False,False,False,,shall be translated,,,
REQ-0545,The system shall have high availability every day of the year.The system must be available for use between 12:00AM and 6:00PM all days of the year.,False,False,False,True,False,,,,high,
REQ-0145,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Lab Section including the clinical site name the department/section for the lab the class instructor day and time of lab and contact information.,False,False,False,False,False,,,,,
REQ-0455,System shall automatically update the main page of the website every Friday and show the 4 latest movies that have been added to the website.,False,True,False,False,False,,have been added,,,
REQ-0581,Rreports must be easy to generate. eports must be generated within one button click and exported within one button click (after selecting the report),True,True,False,False,False,easy,must be generated,,,
REQ-0432,The website shall make its user aware of its information practices before collection data from them via a Privacy Policy accessible on all pages of the website.,False,False,True,False,False,,,its,,
REQ-0589,The Brio portion of the WCS system must be able to export files in spreadsheet form (Microsoft Excel and Lotus 1-2-3 formats). Brio will provide buttons in the user interface that produce/export reports in .xls or .123 file formats.,False,False,False,False,False,,,,,
REQ-0133,The system shall be able to display a printable summary for individual nursing students which will include (but not be limited to) student name student ID admission date classes credits GPA and the cohort that the student is enrolled in.,False,True,False,False,False,,is enrolled,,,
REQ-0392,The product shall be easy for customers with novice skills on the Internet to purchase and watch streaming movies. Customers should be able to purchase and watch a pre-determined movie in under 3 minutes.,True,False,False,False,True,easy,,,,shall; should
REQ-0129,A staff member shall have the ability to manage the progress of a part time student which includes modifying their sequence of classes and timeline of classes.,False,False,True,False,False,,,their,,
REQ-0568,The product shall interface CSR and Datastream.The product shall exchange messages between CSR and EAM on a real time basis without any direct interfaces between two systems.,False,False,False,False,False,,,,,
REQ-0140,The system will notify affected parties when changes occur affecting cohorts including but not limited to changes to the sequence for a cohortâ€™s program of study and changes to a given weekâ€™s schedule (lab cancelled this week due to instructor illness).,False,False,False,False,False,,,,,
REQ-0146,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Nursing Student including student ID student name phone number e-mail status (full time or part time) and program of study.,False,False,False,False,False,,,,,
REQ-0552,The interface shall be appealing to callers and supervisors. In the interface and usability survey 80% of beta testers must report that the interface is appealing.,False,False,False,False,False,,,,,
REQ-0504,Once a game has been initiated the product shall make the players assigned to the game unavailable for selection from the list of players.,False,True,False,False,False,,has been initiated,,,
REQ-0618,""" The product must comply with the intranet page standards and requirements of ENET Securities. 95% of the product look & feel will be approved by the Architecture group prior to implementation. The remaining 5% will be corrected and approved within one month of product release.""",True,True,False,False,False,standards,will be corrected,,,
REQ-0313,The product shall ensure that only company employees or external users with company-approved user IDs may have product access. 100% of all logons shall be by either company employees or external users with company-approved user IDs.,False,False,False,False,True,,,,,shall; may
REQ-0497,The response time shall be fast enough to maintain the flow of the game. The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.,True,False,False,True,False,fast,,,fast,
REQ-0132,The system shall be able to display a printable summary for individual clinical labs which will include (but not be limited to) class name class number lab section listing of students enrolled instructor day(s) time and location.,False,False,False,False,False,,,,,
REQ-0124,Program Administrators and Nursing Staff Members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class.,False,False,False,False,False,,,,,
REQ-0117,The system shall be able to display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators/Nursing Staff Membersâ€™ planning purposes.,False,False,False,False,False,,,,,
REQ-0149,The list of dispute cases that are displayed after a search is performed must be color coded for easy identification of dispute cases based upon the dispute case status.,True,True,False,False,False,easy,are displayed; is performed,,,
REQ-0527,When the hit results in sinking a ship the product shall mark the ship as sunk on the defensive grid of the defensive player.,False,False,False,False,False,,,,,
REQ-0298,The product must be able to interface with any HTML browser. The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).,False,False,False,False,False,,,,,
REQ-0199,For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process a case activity will be generated. Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.,False,True,False,False,False,,will be generated; must be notified,,,
REQ-0194,The Disputes System must provide Search functionality. The search method must include the ability to search by (1) the dispute case number (2) the merchant account number (3) the cardmember account number and (4) the issuer number. In addition to the above criteria the search functionality must further allow the user to limit the results of the search by a date range the type of dispute (ticket retrieval request or chargeback notification) the case status (open closed or all) and the dispute reason code.,False,False,False,False,False,,,,,
REQ-0478,If the leads score falls within the medium average then it will be set for manual verification by an Enrollment Coordinator through the eleads system.,False,False,True,False,False,,,it,,
REQ-0003,The product shall be available during normal business hours. As long as the user has access to the client PC the system will be available 99% of the time during the first six months of operation.,True,False,False,False,False,normal,,,,
REQ-0005,The product shall ensure that it can only be accessed by authorized users. The product will be able to distinguish between authorized and unauthorized users in all access attempts,False,False,False,False,True,,,,,shall; can; will
REQ-0007,The product shall respond fast to keep up-to-date data in the display.,True,False,False,True,False,fast,,,fast,
REQ-0185,The Disputes System will provide the user the ability to create or initiate a ticket retrieval request. As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request. The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,False,True,False,True,False,,is sent,,prompt,
REQ-0189,The Disputes System shall allow the user to create or initiate a chargeback request. The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.,False,True,False,True,False,,is sent; will be charged; is provided,,prompt,
REQ-0190,The Disputes System must provide a confirmation to the user upon the creation of a chargeback request. The confirmation must contain the following information the dispute case number the type of chargeback requested (pending or immediate) and the date that the merchant response is due.,False,False,False,True,False,,,,immediate,
REQ-0192,The Disputes System shall accurately provide a list of possible reason codes for a given transaction. The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to according to the business rules defined for the Disputes System.,False,True,False,True,False,,must be derived,,accurately,
REQ-0197,The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions. The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.,False,False,False,False,False,,,,,
REQ-0229,Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.,False,False,False,False,True,,,,,can; shall
REQ-0244,The system shall locate the preferred repair facility with the highest ratings for the input criteria,False,False,False,True,False,,,,highest,
REQ-0248,The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.,False,True,False,False,False,,can be determined,,,
REQ-0249,The estimator shall search for available recycled parts using damaged vehicle parts information.,False,False,False,False,False,,,,,
REQ-0250,The estimator shall search for available recycled parts using a list of preferred parts suppliers.,False,False,False,False,False,,,,,
REQ-0251,The system shall search for available recycled parts for the supplied vehicle parts and suppliers.,False,False,False,False,False,,,,,
REQ-0253,The system shall retain the available recycled parts and suppliers returned from the search.,False,False,False,False,False,,,,,
REQ-0256,The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.,False,True,False,False,False,,are returned,,,
REQ-0260,The system shall generate an audit report based on the available recycled parts and the collision estimate.,False,False,False,False,False,,,,,
REQ-0262,The audit report shall include the number of available recycled parts from the original search results.,False,False,False,False,False,,,,,
REQ-0276,The product will function alongside server software on any operating system where the Java runtime can be installed.,False,True,False,False,True,,can be installed,,,will; can
REQ-0277,The product will require collaboration with a database management system (DBMS). The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.,False,True,False,False,True,,may be located,,,will; may
REQ-0354,The System shall granularly control access rights to all major subsystems. It should be possible to assign access rights to all subsystems independently.,False,False,False,False,True,,,,,shall; should
REQ-0383,The website shall be attractive to all audiences. The website shall appear to be fun and the colors should be bright and vibrant.,False,False,False,False,True,,,,,shall; should
REQ-0406,The streaming server will support a maximum of 700 movies new servers can be added to support more movies.,False,True,False,False,True,,can be added,,,will; can
REQ-0483,The leads washing functionality will have an interface in which lead data parameters can be maintained.,False,True,False,False,True,,can be maintained,,,will; can
REQ-0498,The product shall protect the identity of the players. The product shall provide players no access to information that might reveal the identity of another player.,False,False,False,False,True,,,,,shall; might
REQ-0501,The product shall provide players no access to information that might reveal the identity of another player,False,False,False,False,True,,,,,shall; might
REQ-0548,The product shall ensure that only supervisors can advertise empty time slots.The product must ensure that supervisors are allowed to access advertise empty time slots.,False,True,False,False,True,,are allowed,,,shall; can; must
REQ-0549,The product shall ensure that only supervisors can enter a callerâ€™s schedule.The product must ensure that supervisors are allowed to access advertise empty time slots.,False,True,False,False,True,,are allowed,,,shall; can; must
REQ-0550,The product shall ensure that only supervisors can view schedule of all callers.The product must ensure that supervisors are allowed to access advertise empty time slots.,False,True,False,False,True,,are allowed,,,shall; can; must
REQ-0576,The system shall be displayable on any work computer a CCR user may have. The system interface shall be formatted to display at 800 by 600 pixel resolution.,False,True,False,False,True,,shall be formatted,,,shall; may
REQ-0291,The response shall be fast enough to avoid interrupting the userâ€™s flow of thought. 90% of tasks shall complete within 5 seconds. 98% of tasks shall complete within 8 seconds.,True,False,False,True,False,fast,,,fast,
REQ-0474,If a lead is scored to the high range the system will supply the lead data and score to the enterprise system.,False,True,False,True,False,,is scored,,high,
REQ-0477,If the leads score falls within the high average score then it will be process by the ARA functionality.,False,False,False,True,False,,,,high,
REQ-0479,If the leads score falls within the low average then it will be returned to the supplying vendor,False,True,True,True,False,,will be returned,it,low,
REQ-0496,The product shall able to handle a large number of games simultaneously.,False,False,False,True,False,,,,large,
REQ-0542,The system shall be responsive. At the DePaul TeleServices Center when a supervisor uses the system to view a callers schedule the system response time must be no more than 2 seconds 90% of the time and no more than 5 seconds the rest of the time.,True,False,False,True,False,responsive,,,responsive,
REQ-0574,The product shall have audit capabilities.The product shall store messages for a minimum of one year for audit and transaction tracking purposes.,False,False,False,True,False,,,,minimum,
REQ-0578,The interface must summarize the data in a fashion thatâ€™s appealing to CCR management. Every report type must have at least one high level summary shown in the results dashboard/interface,False,False,False,True,False,,,,high,
REQ-0621,""" The product interface should be fast. The response time of the product interface should not exceed 2 seconds 90% of the time. For 10% of the time the response time should not be more than 10 seconds.not be more than 10 seconds.""",True,False,False,True,False,fast,,,fast,
REQ-0004,If projected the data must be understandable. On a 10x10 projection screen 90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,False,False,False,False,False,,,,,
REQ-0016,The bottom 3/4 of the table will hold events that occur according to its relevance to current time.,False,False,True,False,False,,,its,,
REQ-0017,The system shall color code events according to their variance from current time.,False,False,True,False,False,,,their,,
REQ-0142,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to cohorts including cohort identifier program of study preferred sequence of classes and quarters that a cohort will be taking specific classes.,False,False,False,False,False,,,,,
REQ-0159,The Disputes application shall interface with the Letters application. This will allow the Disputes application to request letters as part of the dispute initiation and dispute follow up process. All letter requests must be sent to the Print Letter Utility application.,False,True,True,False,False,,must be sent,This,,
REQ-0160,The Disputes application shall interface with the Cardmember Posting and Billing System. This will allow the Disputes application to request adjustments to cardmember and merchantâ€™s accounts. All adjustment requests must be sent to the Cardmember Posting and Billing System.,False,True,True,False,False,,must be sent,This,,
REQ-0165,The Disputes System shall generate a User Report that details any new users that have been added and any changes to an existing userâ€™s access level. The report will be reviewed for auditing purposes.,False,True,False,False,False,,have been added; will be reviewed,,,
REQ-0175,The Disputes application must maintain a detailed history of every action that a user takes on a dispute case. This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.,False,False,True,False,False,,,This,,
REQ-0204,The product shall interface with the Choice Parts System. This provides the feed of recycled parts data.,False,False,True,False,False,,,This,,
REQ-0211,The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,False,False,True,False,False,,,their,,
